43,5
13,10
22,34
8,42
47,40
48,19
27,46
47,47
27,35
36,2
41,46
3,34
19,9
5,38
37,9
43,22
43,33
12,15
22,45
24,17
16,3
5,41
17,18
48,23
9,36
49,32
11,14
19,45
22,43
47,9
34,4
13,20
14,45
29,7
12,6
4,48
20,26
11,37
24,5
10,49
32,2
25,37
8,38
15,19
13,13
11,10
49,33
12,36
45,42
14,16
14,32
8,49
12,37
32,45
12,28
43,17
6,1
42,39
1,25
12,9
5,21
1,12
43,11
48,48
19,20
14,4
7,23
38,3
35,26
38,23
35,19
24,29
4,47
5,3
47,14
20,2
27,6
45,13
12,5
8,23
19,12
17,8
45,23
50,19
24,10
10,42
7,39
38,50
8,15
12,17
39,38
43,46
26,17
26,40
40,10
12,8
19,37
1,7
22,15
48,46
